epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,30428.1,0.83,2.8208,0.22544,0.56465,1.24737,0.97264,0.97604,0.99106,0.8787,0.86837,0.82834,0.86043,0.72184,0.61977,1.85119,0.04348,0.30367,1.02146,0.004918,0.004918,0.004918
79,30827.4,0.82613,2.81679,0.22534,0.56379,1.241,0.9729,0.97591,0.99108,0.87863,0.86821,0.82834,0.86051,0.72193,0.61901,1.85164,0.04335,0.30355,1.02089,0.004852,0.004852,0.004852
80,31229.5,0.82701,2.78109,0.22412,0.5619,1.24215,0.97315,0.97604,0.9911,0.87902,0.86872,0.82892,0.86092,0.72199,0.61769,1.84995,0.04322,0.30317,1.01998,0.004786,0.004786,0.004786
81,31631.9,0.82881,2.80187,0.22584,0.56304,1.24406,0.97306,0.97569,0.99115,0.87923,0.86871,0.82847,0.86071,0.72218,0.61603,1.84752,0.0431,0.30255,1.01894,0.00472,0.00472,0.00472
82,32140.2,0.82532,2.77626,0.22286,0.55851,1.24059,0.97475,0.97477,0.99115,0.8795,0.86689,0.83089,0.86117,0.72218,0.61441,1.84459,0.04292,0.30163,1.01774,0.004654,0.004654,0.004654
83,32645.4,0.83099,2.76496,0.22221,0.56512,1.2423,0.97476,0.97489,0.99117,0.88007,0.86687,0.83145,0.86134,0.72237,0.6131,1.84192,0.04276,0.30122,1.01683,0.004588,0.004588,0.004588
84,33052.4,0.82024,2.77802,0.22256,0.55843,1.23921,0.97501,0.9746,0.99118,0.88044,0.86797,0.83217,0.86181,0.72261,0.61208,1.83897,0.04264,0.30071,1.01613,0.004522,0.004522,0.004522
85,33438.4,0.82923,2.78151,0.22356,0.56188,1.24139,0.97491,0.97535,0.99119,0.88048,0.86836,0.83344,0.86241,0.72268,0.612,1.83639,0.0426,0.30075,1.01601,0.004456,0.004456,0.004456
86,33826.8,0.8216,2.74239,0.22161,0.55424,1.23885,0.97466,0.97541,0.99118,0.88057,0.86704,0.83497,0.86247,0.72316,0.61133,1.83349,0.04251,0.30033,1.01561,0.00439,0.00439,0.00439
87,34215.5,0.81626,2.71296,0.2206,0.55006,1.23321,0.97503,0.97523,0.9912,0.88079,0.86798,0.83369,0.86238,0.72362,0.61047,1.82979,0.04237,0.29975,1.01494,0.004324,0.004324,0.004324
