time,frame,hand_px_x,hand_px_y,tip_x_m,tip_y_m,tip_z_m,distance_m,contact
1761308500.1800654,99,1.3877787807814457e-17,1
1761308500.3174288,100,nan,0
1761308500.4504762,101,6.938893903907228e-17,1
1761308500.5911083,102,4.163336342344337e-17,1
1761308500.72886,103,2.7755575615628914e-17,1
1761308500.847425,104,2.7755575615628914e-17,1
1761308500.974439,105,5.551115123125783e-17,1
1761308501.0997334,106,6.938893903907228e-17,1
1761308501.22843,107,0.0,1
1761308501.3725545,108,2.7755575615628914e-17,1
1761308501.505783,109,nan,0
1761308501.626772,110,0.0,1
1761308501.7490978,111,2.7755575615628914e-17,1
1761308501.8774974,112,8.326672684688674e-17,1
1761308502.021499,113,5.551115123125783e-17,1
1761308502.1610084,114,5.551115123125783e-17,1
1761308502.2991328,115,5.551115123125783e-17,1
1761308502.4403048,116,2.7755575615628914e-17,1
1761308502.5789113,117,8.326672684688674e-17,1
1761308502.7184162,118,0.0,1
1761308502.8600395,119,0.0,1
1761308503.0145712,120,0.0,1
1761308503.1814084,121,5.551115123125783e-17,1
1761308503.3067832,122,2.7755575615628914e-17,1
1761308503.4340842,123,8.326672684688674e-17,1
1761308503.5749795,124,2.7755575615628914e-17,1
1761308503.7250922,125,5.551115123125783e-17,1
1761308503.889679,126,2.7755575615628914e-17,1
1761308504.0251403,127,2.7755575615628914e-17,1
1761308504.1618369,128,0.0,1
1761308504.2974784,129,5.551115123125783e-17,1
1761308504.422391,130,5.551115123125783e-17,1
1761308504.5622873,131,8.326672684688674e-17,1
1761308504.69346,132,8.326672684688674e-17,1
1761308504.8226326,133,2.7755575615628914e-17,1
1761308504.9436944,134,0.0,1
1761308505.067625,135,1.1102230246251565e-16,1
1761308505.1935236,136,8.326672684688674e-17,1
1761308505.321557,137,0.0,1
1761308505.4446464,138,8.326672684688674e-17,1
1761308505.570053,139,8.326672684688674e-17,1
1761308505.7254834,140,5.551115123125783e-17,1
1761308505.8876696,141,5.551115123125783e-17,1
1761308506.0226362,142,5.551115123125783e-17,1
1761308506.1470642,143,0.0,1
1761308506.2778924,144,0.0,1
1761308506.4191885,145,5.551115123125783e-17,1
1761308506.5578985,146,0.0,1
