time,frame,tip_cam_x,tip_cam_y,tip_cam_z,contact
1760316897.3748646,134,nan,nan,nan,0
1760316897.4733646,135,nan,nan,nan,0
1760316897.573351,136,nan,nan,nan,0
1760316897.671979,137,nan,nan,nan,0
1760316897.771045,138,nan,nan,nan,0
1760316897.873818,139,nan,nan,nan,0
1760316897.9692478,140,nan,nan,nan,0
1760316898.068021,141,nan,nan,nan,0
1760316898.162431,142,nan,nan,nan,0
1760316898.2588122,143,nan,nan,nan,0
1760316898.3534865,144,nan,nan,nan,0
1760316898.4505224,145,nan,nan,nan,0
1760316898.546124,146,nan,nan,nan,0
1760316898.6434834,147,nan,nan,nan,0
1760316898.7398798,148,nan,nan,nan,0
1760316898.8354921,149,nan,nan,nan,0
1760316898.931359,150,nan,nan,nan,0
1760316899.0281203,151,nan,nan,nan,0
1760316899.1224918,152,nan,nan,nan,0
1760316899.219026,153,nan,nan,nan,0
1760316899.315768,154,nan,nan,nan,0
1760316899.4102175,155,nan,nan,nan,0
1760316899.503773,156,nan,nan,nan,0
1760316899.60344,157,nan,nan,nan,0
1760316899.6973686,158,nan,nan,nan,0
1760316899.7923315,159,nan,nan,nan,0
1760316899.8869283,160,nan,nan,nan,0
1760316899.9833848,161,nan,nan,nan,0
1760316900.0788796,162,nan,nan,nan,0
1760316900.1728063,163,nan,nan,nan,0
1760316900.2680817,164,nan,nan,nan,0
1760316900.3613777,165,nan,nan,nan,0
1760316900.4567769,166,nan,nan,nan,0
1760316900.549885,167,nan,nan,nan,0
1760316900.6452467,168,nan,nan,nan,0
1760316900.7403367,169,nan,nan,nan,0
1760316900.836528,170,nan,nan,nan,0
1760316900.9327133,171,nan,nan,nan,0
1760316901.026714,172,nan,nan,nan,0
1760316901.1223426,173,nan,nan,nan,0
1760316901.2179961,174,nan,nan,nan,0
1760316901.3108964,175,nan,nan,nan,0
1760316901.4049633,176,nan,nan,nan,0
1760316901.5002456,177,nan,nan,nan,0
1760316901.5972428,178,nan,nan,nan,0
1760316901.6926455,179,nan,nan,nan,0
1760316901.7884147,180,nan,nan,nan,0
1760316901.882516,181,nan,nan,nan,0
1760316901.9766011,182,nan,nan,nan,0
1760316902.071183,183,nan,nan,nan,0
1760316902.166941,184,nan,nan,nan,0
1760316902.260294,185,nan,nan,nan,0
1760316902.353656,186,nan,nan,nan,0
1760316902.447245,187,nan,nan,nan,0
1760316902.5417144,188,nan,nan,nan,0
1760316902.635603,189,nan,nan,nan,0
1760316902.7279892,190,nan,nan,nan,0
1760316902.8210871,191,nan,nan,nan,0
1760316902.9160628,192,nan,nan,nan,0
1760316903.0103269,193,nan,nan,nan,0
1760316903.1022391,194,nan,nan,nan,0
1760316903.1957474,195,nan,nan,nan,0
1760316903.2890244,196,nan,nan,nan,0
1760316903.383668,197,nan,nan,nan,0
1760316903.4764092,198,nan,nan,nan,0
1760316903.571897,199,nan,nan,nan,0
1760316903.6694126,200,nan,nan,nan,0
1760316903.768341,201,nan,nan,nan,0
1760316903.8676853,202,nan,nan,nan,0
1760316903.9650908,203,nan,nan,nan,0
1760316904.0630229,204,nan,nan,nan,0
1760316904.1609447,205,nan,nan,nan,0
1760316904.2586381,206,nan,nan,nan,0
1760316904.3558025,207,nan,nan,nan,0
1760316904.4554098,208,nan,nan,nan,0
1760316904.550689,209,nan,nan,nan,0
1760316904.6492462,210,nan,nan,nan,0
1760316904.7479784,211,nan,nan,nan,0
1760316904.843657,212,nan,nan,nan,0
1760316904.9599035,213,nan,nan,nan,0
1760316905.0578578,214,nan,nan,nan,0
1760316905.1576636,215,nan,nan,nan,0
1760316905.2540808,216,nan,nan,nan,0
1760316905.3516827,217,nan,nan,nan,0
1760316905.449202,218,nan,nan,nan,0
1760316905.5527396,219,nan,nan,nan,0
1760316905.6519074,220,nan,nan,nan,0
1760316905.749254,221,nan,nan,nan,0
1760316905.8503535,222,nan,nan,nan,0
1760316905.9486542,223,nan,nan,nan,0
1760316906.048616,224,nan,nan,nan,0
1760316906.1466823,225,nan,nan,nan,0
1760316906.2428193,226,nan,nan,nan,0
1760316906.339784,227,nan,nan,nan,0
1760316906.4342122,228,nan,nan,nan,0
1760316906.5327766,229,nan,nan,nan,0
1760316906.6317973,230,nan,nan,nan,0
1760316906.72653,231,nan,nan,nan,0
1760316906.8204367,232,nan,nan,nan,0
1760316906.9147682,233,nan,nan,nan,0
1760316907.0081847,234,nan,nan,nan,0
1760316907.1022918,235,nan,nan,nan,0
1760316907.1982067,236,nan,nan,nan,0
1760316907.2940073,237,nan,nan,nan,0
1760316907.3899262,238,nan,nan,nan,0
1760316907.4868836,239,nan,nan,nan,0
1760316907.5866334,240,nan,nan,nan,0
1760316907.6819897,241,nan,nan,nan,0
1760316907.7789936,242,nan,nan,nan,0
1760316907.8741305,243,nan,nan,nan,0
1760316907.9522278,244,nan,nan,nan,0
1760316908.0199442,245,nan,nan,nan,0
1760316908.08614,246,nan,nan,nan,0
1760316908.1498454,247,nan,nan,nan,0
1760316908.2134285,248,nan,nan,nan,0
1760316908.27978,249,nan,nan,nan,0
1760316908.3538291,250,nan,nan,nan,0
1760316908.4315581,251,nan,nan,nan,0
1760316908.5179768,252,nan,nan,nan,0
1760316908.6069877,253,nan,nan,nan,0
1760316908.685733,254,nan,nan,nan,0
1760316908.7584026,255,nan,nan,nan,0
1760316908.8309205,256,nan,nan,nan,0
1760316908.9060104,257,nan,nan,nan,0
1760316908.979421,258,nan,nan,nan,0
1760316909.0510888,259,nan,nan,nan,0
1760316909.1227336,260,nan,nan,nan,0
